claim_no,accident_year,occurrence_period,claim_size,notidel,setldel,report_dy,cum_paid_observed,cum_paid_full,reserve_true,ibnr_flag,claim_type
101,1,1,232012.38999999998,0.2502246954140999,8.941204134154688,2,232012.38999999998,232012.38999999998,0.0,0,Annuity
102,10,10,154111.16,0.01645204654346338,9.296494510609172,2,0.0,154111.16,154111.16,1,Annuity
103,10,10,264069.82,0.048089199178644765,7.199430444900753,1,0.0,264069.82,264069.82,0,Annuity
104,5,5,247262.83000000002,0.21650436687200547,11.821271868583162,1,201239.27000000002,247262.83000000002,46023.56,0,Annuity
105,4,4,122830.49,0.6442119370294319,16.71583085557837,1,57129.29,122830.49,65701.20000000001,0,Annuity
106,4,4,187496.291,0.10103468856947297,7.483216016427105,1,181125.43099999998,187496.291,6370.860000000015,0,Annuity
107,1,1,93034.99799999999,0.023591184120465434,5.459542286105408,1,93034.99799999999,93034.99799999999,0.0,0,Annuity
108,1,1,116676.882,0.25762124572210815,11.661692511978098,2,107790.552,116676.882,8886.330000000002,0,Annuity
109,1,1,112891.46,0.021779000684462695,5.477376427104723,1,112891.46,112891.46,0.0,0,Annuity
110,10,10,133057.0,0.30842485968514716,10.645224120465434,1,0.0,133057.0,133057.0,0,Annuity
111,2,2,162176.935,0.38285311430527036,7.315343737166325,2,162176.935,162176.935,0.0,0,Annuity
112,8,8,202039.442,0.29177494866529774,10.727420862422997,1,130352.42,202039.442,71687.02200000001,0,Annuity
113,1,1,196174.95,0.03324065708418891,4.577834962354552,1,196174.95,196174.95,0.0,0,Annuity
114,1,1,735126.16,0.048871047227926075,9.02959961670089,1,735126.16,735126.16,0.0,0,Annuity
115,4,4,203959.96000000002,0.13438450376454483,10.145014045174538,1,182389.73,203959.96000000002,21570.23000000001,0,Annuity
116,5,5,108981.68,0.13786940451745378,8.425782861054072,1,89064.76,108981.68,19916.92,0,Annuity
117,4,4,113732.29000000001,0.05475132101300479,8.42340848733744,1,100135.01000000001,113732.29000000001,13597.279999999999,0,Annuity
118,7,7,239854.91,0.043585462012320324,11.064992470910335,1,158678.50999999998,239854.91,81176.40000000002,0,Annuity
119,3,3,108463.0,0.0029127446954141,2.7686633812457218,1,108463.0,108463.0,0.0,0,Bodily
120,1,1,626083.2,0.20073445585215605,0.8304294318959616,2,626083.2,626083.2,0.0,0,Bodily
121,7,7,47939.579999999994,0.04199164955509924,3.431409938398357,1,47939.579999999994,47939.579999999994,0.0,0,Bodily
122,7,7,535201.53,1.0143600273785078,4.423766105407255,2,523816.83,535201.53,11384.700000000012,0,Bodily
123,8,8,737247.18,1.9417736892539357,5.534009253935661,3,702808.68,737247.18,34438.5,0,Bodily
124,4,4,19681.803,0.04792427104722793,1.473186201232033,1,19681.803,19681.803,0.0,0,Bodily
125,6,6,172842.0,0.012769281314168377,3.9069535112936347,1,172842.0,172842.0,0.0,0,Bodily
126,10,10,9174.01,0.15413467488021904,3.642387214236824,2,0.0,9174.01,9174.01,1,Bodily
127,6,6,35941.5,0.07964432580424367,0.476781711156742,1,35941.5,35941.5,0.0,0,Bodily
128,9,9,364081.65,0.07737886379192334,4.907487364818618,1,0.0,364081.65,364081.65,0,Bodily
129,2,2,66414.29000000001,0.5935156741957562,2.701305516769336,1,66414.29000000001,66414.29000000001,0.0,0,Bodily
130,3,3,289486.9,0.01183832991101985,2.857306776180698,1,289486.9,289486.9,0.0,0,Bodily
131,9,9,12435.4,0.0017326488706365503,0.8485935386721424,1,12435.4,12435.4,0.0,0,Bodily
132,3,3,16515.2,0.2992393155373032,0.639302751540041,1,16515.2,16515.2,0.0,0,Bodily
133,4,4,54092.020000000004,0.13420807665982204,3.7885257221081448,1,54092.020000000004,54092.020000000004,0.0,0,Bodily
134,2,2,560836.0,0.028733963039014373,2.2447060369609853,1,560836.0,560836.0,0.0,0,Bodily
135,1,1,145952.97,0.032631129363449696,5.640150828199863,1,145952.97,145952.97,0.0,0,Bodily
136,8,8,116944.81,0.0033023682409308694,3.2320283915126624,1,111046.46,116944.81,5898.349999999991,0,Bodily
137,1,1,521737.2,0.05881396303901437,2.4942917727583844,1,521737.2,521737.2,0.0,0,Bodily
138,7,7,121435.89,0.16008501026694044,1.3163777138945927,1,121435.89,121435.89,0.0,0,Bodily
139,1,1,18230.6,0.04636208076659822,7.0163597809719365,1,18230.6,18230.6,0.0,0,Bodily
140,2,2,68132.8,0.050789075975359345,3.4096405749486656,1,68132.8,68132.8,0.0,0,Bodily
141,2,2,5226.57,0.010121368925393566,0.9994111430527036,1,5226.57,5226.57,0.0,0,Bodily
142,10,10,541200.25,0.0863512114989733,2.66489749486653,1,517022.0,541200.25,24178.25,0,Bodily
143,1,1,12400.28,0.3008709377138946,1.9355837371663243,1,12400.28,12400.28,0.0,0,Bodily
144,5,5,80528.2,0.05898414784394251,0.9011301848049282,1,80528.2,80528.2,0.0,0,Bodily
145,5,5,9576.25,0.09293034907597536,0.39725593429158107,1,9576.25,9576.25,0.0,0,Bodily
146,6,6,82894.4,0.1266041889117043,1.1148835318275154,1,82894.4,82894.4,0.0,0,Bodily
147,1,1,4744.697,0.18388974674880218,0.2769930458590007,1,4744.697,4744.697,0.0,0,Bodily
148,6,6,210522.0,0.1555634496919918,0.45278015058179333,1,210522.0,210522.0,0.0,0,Bodily
149,6,6,2309749.1,0.22350989733059548,7.048940123203285,1,16422.1,2309749.1,2293327.0,0,Bodily
150,7,7,16055.7,0.18435939767282683,2.2542278165639975,1,16055.7,16055.7,0.0,0,Bodily
151,7,7,123526.1,0.04105303216974675,13.379495441478438,1,68160.0,123526.1,55366.100000000006,0,Bodily
152,1,1,32593.07,0.01195624914442163,2.225325694729637,1,32593.07,32593.07,0.0,0,Bodily
153,9,9,3830.54,0.10817390828199863,1.8455154277891854,1,0.0,3830.54,3830.54,0,Bodily
154,10,10,176944.53399999999,0.11666499657768652,3.0446257905544147,1,107273.0,176944.53399999999,69671.53399999999,0,Bodily
155,6,6,112790.35,0.16128531143052702,6.432855085557837,1,51701.950000000004,112790.35,61088.4,0,Bodily
156,4,4,272098.7,0.030404599589322383,1.046153210130048,1,272098.7,272098.7,0.0,0,Bodily
157,10,10,105343.0,0.007325886379192334,3.357597070499658,1,0.0,105343.0,105343.0,0,Bodily
158,4,4,4498.53,0.049908884325804245,0.43644876112251885,1,4498.53,4498.53,0.0,0,Bodily
159,10,10,100313.86000000002,0.1359480629705681,1.4940683367556467,1,70128.76000000001,100313.86000000002,30185.100000000006,0,Bodily
160,10,10,22812.4,0.03297141683778234,0.8791166872005476,1,0.0,22812.4,22812.4,0,Bodily
161,2,2,68616.8,0.005816646132785763,0.3310526214921287,1,68616.8,68616.8,0.0,0,Bodily
162,7,7,11556.71,0.03623857631759069,2.3741892128678983,1,11556.71,11556.71,0.0,0,Bodily
163,7,7,40258.159999999996,0.0125709787816564,0.5675132648870637,1,40258.159999999996,40258.159999999996,0.0,0,Bodily
164,2,2,113344.7,0.4601667351129363,0.8580559069130732,2,113344.7,113344.7,0.0,0,Bodily
165,9,9,8201.7,0.13844769336071186,5.970320273785078,1,0.0,8201.7,8201.7,0,Bodily
166,5,5,52877.544,0.04379080082135523,2.0862592470910335,1,52877.544,52877.544,0.0,0,Bodily
167,8,8,15484.369,0.21750650239561944,2.7079203285420945,1,15484.369,15484.369,0.0,0,Bodily
168,10,10,102597.25,0.0019797946611909653,2.240356741957563,1,76576.3,102597.25,26020.949999999997,0,Bodily
169,10,10,444856.6,0.014552279260780286,0.7914408213552362,1,444856.6,444856.6,0.0,0,Bodily
170,3,3,185355.0,0.019541464750171114,0.35420626967830254,1,185355.0,185355.0,0.0,0,Bodily
171,6,6,112184.0,0.15432202600958247,1.6486690212183437,1,112184.0,112184.0,0.0,0,Bodily
172,6,6,97654.9,0.1545272553045859,0.9526666392881589,2,97654.9,97654.9,0.0,0,Bodily
173,3,3,343943.5,1.59363318275154,3.3423306776180697,3,343943.5,343943.5,0.0,0,Bodily
174,1,1,19359.595,0.03296087611225188,2.2257147707049967,2,19359.595,19359.595,0.0,0,Bodily
175,5,5,338509.4,0.38241639972621494,3.040365311430527,1,338509.4,338509.4,0.0,0,Bodily
176,8,8,326330.0,0.048844681724846,12.345285037645448,1,0.0,326330.0,326330.0,0,Bodily
177,8,8,263360.488,0.6506912251882272,3.6698154140999315,2,262883.0,263360.488,477.4880000000121,0,Bodily
178,7,7,171678.7,0.06417341546885695,8.34442327173169,1,136734.2,171678.7,34944.5,0,Bodily
179,8,8,25508.8,0.6847575906913074,0.6844337850787132,2,25508.8,25508.8,0.0,0,Bodily
180,3,3,235248.07,0.12242220396988364,2.150706721423682,1,235248.07,235248.07,0.0,0,Bodily
181,6,6,43042.4,0.09069106091718002,2.1824765229295005,1,43042.4,43042.4,0.0,0,Bodily
182,9,9,23152.2,0.0023661601642710473,0.4824003285420944,1,23152.2,23152.2,0.0,0,Bodily
183,6,6,4310.52,0.015267488021902807,0.07221672826830937,1,4310.52,4310.52,0.0,0,Bodily
184,4,4,321432.15,0.10147342915811088,4.471896536618754,1,321432.15,321432.15,0.0,0,Bodily
185,6,6,197315.14,0.02563006160164271,10.219782149212868,1,98237.23,197315.14,99077.91000000002,0,Bodily
186,1,1,26182.65,0.22630934976043804,0.6323790554414784,1,26182.65,26182.65,0.0,0,Bodily
187,8,8,83377.16,0.031323367556468175,1.4818074743326488,1,83377.16,83377.16,0.0,0,Bodily
188,9,9,69365.121,0.06855244353182752,1.8462997125256673,1,65133.971,69365.121,4231.1500000000015,0,Bodily
189,3,3,19247.23,0.04580936344969199,0.9599279671457905,1,19247.23,19247.23,0.0,0,Bodily
190,7,7,127295.29999999999,1.2123005612594113,1.2105189869952087,2,127295.29999999999,127295.29999999999,0.0,0,Bodily
191,5,5,364470.0,0.09253678302532511,1.0277928542094457,1,364470.0,364470.0,0.0,0,Bodily
192,8,8,259481.57,0.0845788090349076,3.008102176591376,1,102794.56999999999,259481.57,156687.0,0,Bodily
193,4,4,48385.664000000004,0.5907464202600958,1.4903924435318274,2,48385.664000000004,48385.664000000004,0.0,0,Bodily
194,7,7,1668108.55,0.7425598083504449,1.4309454072553047,2,1668108.55,1668108.55,0.0,0,Bodily
195,5,5,209961.154,1.2092810677618069,1.4748088432580424,2,209961.154,209961.154,0.0,0,Bodily
196,1,1,112269.6,0.03891383983572895,1.063436796714579,1,112269.6,112269.6,0.0,0,Bodily
197,6,6,86199.081,0.036322162902121834,10.414412046543465,1,85598.9,86199.081,600.1810000000114,0,Bodily
198,3,3,100158.6,0.14277930184804927,0.8408006023271731,1,100158.6,100158.6,0.0,0,Bodily
199,1,1,160834.57,0.028607967145790555,2.7543846954141,1,160834.57,160834.57,0.0,0,Bodily
200,9,9,94376.61,0.1891039835728953,1.3876465708418892,1,94376.61,94376.61,0.0,0,Bodily
201,3,3,18875.62,0.324458726899384,6.494641724845996,2,18875.62,18875.62,0.0,0,Bodily
202,9,9,32201.15,0.29771644079397674,1.0891973442847367,2,32201.15,32201.15,0.0,0,Bodily
203,8,8,257274.46,0.13614707734428474,0.635036796714579,1,257274.46,257274.46,0.0,0,Bodily
204,6,6,57259.8,0.061585352498288844,1.4154693223819301,1,57259.8,57259.8,0.0,0,Bodily
205,5,5,473085.77,0.002213196440793977,1.7741791375770022,1,473085.77,473085.77,0.0,0,Bodily
206,1,1,55811.399999999994,0.3782732922655715,0.38543310061601643,2,55811.399999999994,55811.399999999994,0.0,0,Bodily
207,6,6,84014.14,0.046739685147159475,7.432883805612594,1,82590.8,84014.14,1423.3399999999965,0,Bodily
208,6,6,3775.23,0.05254349075975359,0.0600617659137577,1,3775.23,3775.23,0.0,0,Bodily
209,2,2,364312.6,0.006524818617385353,3.863369117043121,1,364312.6,364312.6,0.0,0,Bodily
210,7,7,39937.2,0.3937871321013005,3.5501601095140316,2,17197.7,39937.2,22739.499999999996,0,Bodily
211,2,2,58304.450000000004,0.3127211225188227,1.6002582614647503,1,58304.450000000004,58304.450000000004,0.0,0,Bodily
212,4,4,149666.9,0.2773165776865161,2.8237937303216976,2,149666.9,149666.9,0.0,0,Bodily
213,7,7,106078.338,0.3112328815879535,4.18325620807666,2,105345.0,106078.338,733.3380000000034,0,Bodily
214,3,3,12406.08,0.13039707049965776,0.8486450376454483,1,12406.08,12406.08,0.0,0,Bodily
215,3,3,2395548.08,0.35570573579739906,1.2246583983572896,2,2395548.08,2395548.08,0.0,0,Bodily
216,4,4,8665.63,0.06448799452429842,0.3162963997262149,1,8665.63,8665.63,0.0,0,Bodily
217,5,5,415932.1,0.13822357289527723,3.8493430800821353,1,415932.1,415932.1,0.0,0,Bodily
218,8,8,182646.24000000002,0.9342610814510609,8.169321998631075,2,180067.2,182646.24000000002,2579.040000000008,0,Bodily
219,3,3,120707.9,0.017295414099931555,13.686807392197124,1,103720.7,120707.9,16987.199999999997,0,Bodily
220,3,3,880.12,1.1015098425735799,1.1008795345653661,2,880.12,880.12,0.0,0,Bodily
221,5,5,209898.0,0.22005314168377824,4.171178945927447,1,209898.0,209898.0,0.0,0,Bodily
222,6,6,37204.55,0.04051696098562628,1.7236839698836415,1,37204.55,37204.55,0.0,0,Bodily
223,7,7,33854.68,0.08527115674195757,1.380620862422998,1,33854.68,33854.68,0.0,0,Bodily
224,10,10,420960.3,0.17262310746064338,2.1068476933607116,1,0.0,420960.3,420960.3,0,Bodily
225,7,7,86793.20000000001,0.23359446954141,3.495088925393566,1,32501.9,86793.20000000001,54291.30000000001,0,Bodily
226,1,1,66461.1,0.03508292950034223,3.4214544558521562,1,66461.1,66461.1,0.0,0,Bodily
227,6,6,238365.8,0.01391835728952772,2.247833483915127,1,238365.8,238365.8,0.0,0,Bodily
228,4,4,235318.7,0.003510800821355236,3.466348528405202,1,235318.7,235318.7,0.0,0,Bodily
229,4,4,432882.89,0.08447518138261466,4.7866178234086245,2,432882.89,432882.89,0.0,0,Bodily
230,5,5,44452.37,0.12401672826830938,2.342287008898015,1,44452.37,44452.37,0.0,0,Bodily
231,5,5,19091.41,0.8695592881587954,1.017618069815195,2,19091.41,19091.41,0.0,0,Bodily
232,1,1,9550.93,0.006839151266255989,0.6307325393566051,1,9550.93,9550.93,0.0,0,Bodily
233,7,7,114143.37,0.16075173169062287,1.9770830663928816,1,114143.37,114143.37,0.0,0,Bodily
234,8,8,108576.84,0.00894239561943874,1.452126406570842,1,108576.84,108576.84,0.0,0,Bodily
235,3,3,928010.14,0.04034250513347022,0.7103277481177275,1,928010.14,928010.14,0.0,0,Bodily
236,9,9,195127.12,0.2362644216290212,0.9125787542778918,1,195127.12,195127.12,0.0,0,Bodily
237,4,4,13826.31,0.0,0.7518150034223134,1,13826.31,13826.31,0.0,0,Bodily
238,2,2,14990.0,0.010294592744695415,3.4565111567419575,1,14990.0,14990.0,0.0,0,Bodily
239,1,1,82981.78,0.13615383983572896,1.2103801232032854,1,82981.78,82981.78,0.0,0,Bodily
240,4,4,150288.1,0.006184421629021218,3.2745007802874744,1,150288.1,150288.1,0.0,0,Bodily
241,10,10,559037.25,1.6425229568788502,1.6416849555099249,3,0.0,559037.25,559037.25,1,Bodily
242,9,9,197286.2,0.023675756331279944,1.1542856125941137,1,197286.2,197286.2,0.0,0,Bodily
243,3,3,26923.8,0.9849826694045174,1.010525311430527,2,26923.8,26923.8,0.0,0,Bodily
244,4,4,27534.63,0.03043279945242984,3.8837724572210814,1,27534.63,27534.63,0.0,0,Bodily
245,6,6,57566.65,0.5006042162902122,0.7347863655030801,2,57566.65,57566.65,0.0,0,Bodily
246,7,7,234231.4,0.04407389459274469,1.186240848733744,1,234231.4,234231.4,0.0,0,Bodily
247,2,2,36635.45,0.10702316221765913,1.5734416974674879,1,36635.45,36635.45,0.0,0,Bodily
248,2,2,94785.7,0.03402154688569473,4.0964914989733066,1,94785.7,94785.7,0.0,0,Bodily
249,1,1,211724.81,0.25405045859000686,3.531373579739904,2,211724.81,211724.81,0.0,0,Bodily
250,10,10,63754.21000000001,0.036525284052019165,1.4601202464065708,1,6971.08,63754.21000000001,56783.130000000005,0,Bodily
251,3,3,6160.98,0.14157845311430525,0.7028455852156057,1,6160.98,6160.98,0.0,0,Bodily
252,4,4,21816.03,0.29538485968514716,2.4344704996577686,2,21816.03,21816.03,0.0,0,Bodily
253,8,8,2990.367,0.024306776180698153,0.6837230116358658,2,2990.367,2990.367,0.0,0,Bodily
254,4,4,234507.01,0.06500186173853525,2.1049625188227243,1,234507.01,234507.01,0.0,0,Bodily
255,9,9,17900.8,0.18468265571526352,0.24044859685147157,1,17900.8,17900.8,0.0,0,Bodily
256,1,1,162556.33,0.028044216290212184,0.9383038740588637,1,162556.33,162556.33,0.0,0,Bodily
