claim_no,accident_year,occurrence_period,dev_lag,payment_period,claim_size,payment_size,observed_flag
17,10,10,4,13,113600.37,1247.21,0
17,10,10,4,13,113600.37,5222.92,0
17,10,10,4,13,113600.37,11188.4,0
17,10,10,4,13,113600.37,12269.5,0
17,10,10,6,15,113600.37,21990.5,0
17,10,10,6,15,113600.37,2440.93,0
17,10,10,6,15,113600.37,13188.1,0
17,10,10,11,20,113600.37,9052.2,0
18,1,1,2,2,194280.25,9899.08,1
18,1,1,2,2,194280.25,1556.45,1
18,1,1,2,2,194280.25,2069.1,1
18,1,1,2,2,194280.25,11695.2,1
18,1,1,3,3,194280.25,4302.86,1
18,1,1,3,3,194280.25,4842.16,1
18,1,1,3,3,194280.25,18470.6,1
18,1,1,3,3,194280.25,16927.9,1
18,1,1,3,3,194280.25,8955.45,1
18,1,1,3,3,194280.25,5772.44,1
18,1,1,4,4,194280.25,13779.0,1
18,1,1,4,4,194280.25,10270.1,1
18,1,1,5,5,194280.25,2438.12,1
18,1,1,6,6,194280.25,4820.13,1
18,1,1,6,6,194280.25,34201.3,1
18,1,1,7,7,194280.25,28257.3,1
18,1,1,8,8,194280.25,1896.1,1
18,1,1,9,9,194280.25,2009.66,1
18,1,1,12,12,194280.25,12117.3,0
19,2,2,1,2,314061.01,6619.28,1
19,2,2,2,3,314061.01,6243.09,1
19,2,2,2,3,314061.01,11923.2,1
19,2,2,2,3,314061.01,11854.3,1
19,2,2,2,3,314061.01,12421.8,1
19,2,2,2,3,314061.01,7793.12,1
19,2,2,2,3,314061.01,8026.22,1
19,2,2,3,4,314061.01,8914.58,1
19,2,2,3,4,314061.01,5515.59,1
19,2,2,3,4,314061.01,11591.2,1
19,2,2,3,4,314061.01,1172.5,1
19,2,2,3,4,314061.01,4274.56,1
19,2,2,4,5,314061.01,21483.6,1
19,2,2,4,5,314061.01,13676.0,1
19,2,2,4,5,314061.01,46425.1,1
19,2,2,4,5,314061.01,2171.39,1
19,2,2,4,5,314061.01,5884.19,1
19,2,2,5,6,314061.01,14111.1,1
19,2,2,6,7,314061.01,22171.8,1
19,2,2,7,8,314061.01,4791.77,1
19,2,2,11,12,314061.01,84887.2,0
19,2,2,19,20,314061.01,2109.42,0
20,3,3,2,4,274790.26900000003,17625.0,1
20,3,3,2,4,274790.26900000003,8079.15,1
20,3,3,3,5,274790.26900000003,9374.7,1
20,3,3,3,5,274790.26900000003,23466.5,1
20,3,3,3,5,274790.26900000003,12255.9,1
20,3,3,3,5,274790.26900000003,28199.5,1
20,3,3,4,6,274790.26900000003,42338.0,1
20,3,3,4,6,274790.26900000003,6946.34,1
20,3,3,4,6,274790.26900000003,15842.3,1
20,3,3,4,6,274790.26900000003,3814.89,1
20,3,3,5,7,274790.26900000003,33331.9,1
20,3,3,5,7,274790.26900000003,5128.34,1
20,3,3,5,7,274790.26900000003,5472.95,1
20,3,3,5,7,274790.26900000003,14893.0,1
20,3,3,5,7,274790.26900000003,14148.6,1
20,3,3,8,10,274790.26900000003,18095.2,1
20,3,3,8,10,274790.26900000003,9230.58,1
20,3,3,9,11,274790.26900000003,5642.15,0
20,3,3,15,17,274790.26900000003,905.269,0
21,1,1,2,2,58390.950000000004,3009.35,1
21,1,1,2,2,58390.950000000004,11941.5,1
21,1,1,3,3,58390.950000000004,10589.7,1
21,1,1,3,3,58390.950000000004,11142.6,1
21,1,1,4,4,58390.950000000004,2163.23,1
21,1,1,5,5,58390.950000000004,3531.08,1
21,1,1,5,5,58390.950000000004,8607.77,1
21,1,1,7,7,58390.950000000004,7405.72,1
22,7,7,3,9,79712.24,8868.6,1
22,7,7,3,9,79712.24,16751.5,1
22,7,7,3,9,79712.24,7605.53,1
22,7,7,3,9,79712.24,5970.25,1
22,7,7,3,9,79712.24,9085.9,1
22,7,7,4,10,79712.24,5786.73,1
22,7,7,4,10,79712.24,7070.63,1
22,7,7,4,10,79712.24,4647.5,1
22,7,7,4,10,79712.24,3157.91,1
22,7,7,5,11,79712.24,7401.83,0
22,7,7,5,11,79712.24,3365.86,0
23,4,4,2,5,151942.129,5484.63,1
23,4,4,2,5,151942.129,3064.22,1
23,4,4,2,5,151942.129,49256.1,1
23,4,4,3,6,151942.129,2401.56,1
23,4,4,3,6,151942.129,2970.0,1
23,4,4,3,6,151942.129,4629.92,1
23,4,4,3,6,151942.129,1867.77,1
23,4,4,4,7,151942.129,1271.55,1
23,4,4,4,7,151942.129,8180.25,1
23,4,4,4,7,151942.129,1776.76,1
23,4,4,5,8,151942.129,12662.5,1
23,4,4,5,8,151942.129,813.069,1
23,4,4,5,8,151942.129,19906.8,1
23,4,4,6,9,151942.129,11504.7,1
23,4,4,8,11,151942.129,26152.3,0
24,6,6,2,7,298188.7,7232.45,1
24,6,6,2,7,298188.7,35311.4,1
24,6,6,3,8,298188.7,10118.3,1
24,6,6,3,8,298188.7,2997.91,1
24,6,6,3,8,298188.7,5309.9,1
24,6,6,4,9,298188.7,51184.0,1
24,6,6,5,10,298188.7,1061.73,1
24,6,6,6,11,298188.7,24698.4,0
24,6,6,7,12,298188.7,4263.31,0
24,6,6,8,13,298188.7,20938.2,0
24,6,6,8,13,298188.7,100455.0,0
24,6,6,11,16,298188.7,23523.5,0
24,6,6,15,20,298188.7,11094.6,0
25,3,3,3,5,317903.65,6685.94,1
25,3,3,3,5,317903.65,7120.15,1
25,3,3,3,5,317903.65,23161.5,1
25,3,3,3,5,317903.65,7462.39,1
25,3,3,3,5,317903.65,2808.88,1
25,3,3,3,5,317903.65,5428.06,1
25,3,3,3,5,317903.65,4115.41,1
25,3,3,4,6,317903.65,5113.09,1
25,3,3,6,8,317903.65,3288.38,1
25,3,3,6,8,317903.65,7885.57,1
25,3,3,7,9,317903.65,5940.81,1
25,3,3,7,9,317903.65,22911.1,1
25,3,3,8,10,317903.65,6301.08,1
25,3,3,8,10,317903.65,28512.7,1
25,3,3,8,10,317903.65,25698.2,1
25,3,3,9,11,317903.65,21289.5,0
25,3,3,10,12,317903.65,6482.89,0
25,3,3,10,12,317903.65,127698.0,0
26,10,10,3,12,291895.225,31204.8,0
26,10,10,3,12,291895.225,3966.37,0
26,10,10,3,12,291895.225,31676.1,0
26,10,10,3,12,291895.225,10760.7,0
26,10,10,3,12,291895.225,32419.3,0
26,10,10,3,12,291895.225,2502.3,0
26,10,10,3,12,291895.225,4214.46,0
26,10,10,4,13,291895.225,1000.29,0
26,10,10,5,14,291895.225,73642.2,0
26,10,10,5,14,291895.225,435.045,0
26,10,10,5,14,291895.225,25394.0,0
26,10,10,5,14,291895.225,3704.56,0
26,10,10,6,15,291895.225,9691.7,0
26,10,10,6,15,291895.225,12580.6,0
26,10,10,8,17,291895.225,13849.8,0
26,10,10,8,17,291895.225,4601.2,0
26,10,10,10,19,291895.225,13283.5,0
26,10,10,11,20,291895.225,16968.3,0
27,8,8,2,9,314436.69,60094.3,1
27,8,8,2,9,314436.69,8781.21,1
27,8,8,2,9,314436.69,50599.1,1
27,8,8,3,10,314436.69,10988.2,1
27,8,8,3,10,314436.69,16726.4,1
27,8,8,3,10,314436.69,31448.5,1
27,8,8,3,10,314436.69,6588.04,1
27,8,8,4,11,314436.69,6777.19,0
27,8,8,4,11,314436.69,10730.8,0
27,8,8,4,11,314436.69,32781.1,0
27,8,8,5,12,314436.69,6463.68,0
27,8,8,5,12,314436.69,1199.31,0
27,8,8,6,13,314436.69,2783.27,0
27,8,8,6,13,314436.69,2368.52,0
27,8,8,6,13,314436.69,3673.05,0
27,8,8,9,16,314436.69,41938.8,0
27,8,8,9,16,314436.69,16713.3,0
27,8,8,13,20,314436.69,3781.92,0
28,1,1,2,2,150151.86,3863.27,1
28,1,1,2,2,150151.86,13536.0,1
28,1,1,2,2,150151.86,4332.97,1
28,1,1,2,2,150151.86,5948.44,1
28,1,1,3,3,150151.86,9688.28,1
28,1,1,3,3,150151.86,45331.9,1
28,1,1,4,4,150151.86,25852.8,1
28,1,1,6,6,150151.86,1653.84,1
28,1,1,6,6,150151.86,6098.41,1
28,1,1,7,7,150151.86,9768.55,1
28,1,1,20,20,150151.86,24077.4,0
29,1,1,2,2,133612.18,24786.8,1
29,1,1,2,2,133612.18,5620.04,1
29,1,1,2,2,133612.18,10092.5,1
29,1,1,3,3,133612.18,7530.26,1
29,1,1,4,4,133612.18,13312.1,1
29,1,1,4,4,133612.18,25873.3,1
29,1,1,4,4,133612.18,9543.51,1
29,1,1,4,4,133612.18,6004.7,1
29,1,1,5,5,133612.18,4255.21,1
29,1,1,5,5,133612.18,8515.12,1
29,1,1,5,5,133612.18,6175.51,1
29,1,1,5,5,133612.18,4613.67,1
29,1,1,5,5,133612.18,7289.46,1
30,10,10,2,11,199525.51,445.855,0
30,10,10,2,11,199525.51,34295.8,0
30,10,10,2,11,199525.51,49184.1,0
30,10,10,3,12,199525.51,4432.91,0
30,10,10,3,12,199525.51,2790.01,0
30,10,10,3,12,199525.51,7253.53,0
30,10,10,3,12,199525.51,3881.18,0
30,10,10,4,13,199525.51,5921.44,0
30,10,10,4,13,199525.51,6839.64,0
30,10,10,4,13,199525.51,902.995,0
30,10,10,6,15,199525.51,17852.6,0
30,10,10,6,15,199525.51,26282.3,0
30,10,10,7,16,199525.51,33690.3,0
30,10,10,8,17,199525.51,5752.85,0
31,6,6,3,8,114430.588,2196.56,1
31,6,6,3,8,114430.588,3800.67,1
31,6,6,5,10,114430.588,4535.09,1
31,6,6,5,10,114430.588,40104.2,1
31,6,6,5,10,114430.588,5406.63,1
31,6,6,5,10,114430.588,12641.7,1
31,6,6,5,10,114430.588,10097.9,1
31,6,6,5,10,114430.588,6234.62,1
31,6,6,5,10,114430.588,787.408,1
31,6,6,6,11,114430.588,1901.04,0
31,6,6,7,12,114430.588,15252.7,0
31,6,6,8,13,114430.588,4643.66,0
31,6,6,9,14,114430.588,6828.41,0
32,5,5,3,7,207294.65,11320.2,1
32,5,5,3,7,207294.65,2317.35,1
32,5,5,3,7,207294.65,7044.36,1
32,5,5,3,7,207294.65,131213.0,1
32,5,5,3,7,207294.65,1920.33,1
32,5,5,4,8,207294.65,17844.6,1
32,5,5,4,8,207294.65,5779.73,1
32,5,5,5,9,207294.65,1710.51,1
32,5,5,6,10,207294.65,12098.7,1
32,5,5,7,11,207294.65,5572.92,0
32,5,5,8,12,207294.65,4276.34,0
32,5,5,10,14,207294.65,3459.45,0
32,5,5,13,17,207294.65,2737.16,0
33,4,4,2,5,213962.8,4057.38,1
33,4,4,2,5,213962.8,14111.7,1
33,4,4,3,6,213962.8,2556.72,1
33,4,4,3,6,213962.8,5460.86,1
33,4,4,4,7,213962.8,9361.24,1
33,4,4,4,7,213962.8,11571.8,1
33,4,4,4,7,213962.8,15884.4,1
33,4,4,4,7,213962.8,17293.0,1
33,4,4,5,8,213962.8,12730.1,1
33,4,4,5,8,213962.8,13811.0,1
33,4,4,5,8,213962.8,7869.5,1
33,4,4,5,8,213962.8,51889.0,1
33,4,4,5,8,213962.8,35559.2,1
33,4,4,6,9,213962.8,2967.34,1
33,4,4,7,10,213962.8,4442.7,1
33,4,4,9,12,213962.8,4396.86,0
34,8,8,2,9,186996.11,10021.7,1
34,8,8,3,10,186996.11,31399.5,1
34,8,8,4,11,186996.11,16091.7,0
34,8,8,4,11,186996.11,39998.1,0
34,8,8,5,12,186996.11,9745.47,0
34,8,8,5,12,186996.11,11342.0,0
34,8,8,9,16,186996.11,29373.7,0
34,8,8,12,19,186996.11,29570.9,0
34,8,8,13,20,186996.11,9453.04,0
35,10,10,3,12,128644.029,839.079,0
35,10,10,3,12,128644.029,3014.7,0
35,10,10,3,12,128644.029,5467.7,0
35,10,10,3,12,128644.029,6787.09,0
35,10,10,3,12,128644.029,30207.2,0
35,10,10,3,12,128644.029,7783.94,0
35,10,10,3,12,128644.029,13655.4,0
35,10,10,4,13,128644.029,2034.94,0
35,10,10,4,13,128644.029,4230.92,0
35,10,10,5,14,128644.029,6448.11,0
35,10,10,5,14,128644.029,3871.07,0
35,10,10,5,14,128644.029,20183.8,0
35,10,10,5,14,128644.029,4578.79,0
35,10,10,6,15,128644.029,2295.55,0
35,10,10,7,16,128644.029,3198.65,0
35,10,10,11,20,128644.029,1703.09,0
35,10,10,11,20,128644.029,12344.0,0
36,2,2,2,3,182420.14,10925.8,1
36,2,2,2,3,182420.14,2341.2,1
36,2,2,2,3,182420.14,6128.3,1
36,2,2,4,5,182420.14,14770.8,1
36,2,2,4,5,182420.14,34214.3,1
36,2,2,4,5,182420.14,17610.5,1
36,2,2,4,5,182420.14,52216.8,1
36,2,2,5,6,182420.14,12235.0,1
36,2,2,5,6,182420.14,8390.86,1
36,2,2,6,7,182420.14,4333.89,1
36,2,2,6,7,182420.14,12409.5,1
36,2,2,7,8,182420.14,1543.83,1
36,2,2,7,8,182420.14,1210.07,1
36,2,2,8,9,182420.14,1392.26,1
36,2,2,9,10,182420.14,2697.03,1
37,7,7,3,9,63406.009999999995,4807.9,1
37,7,7,4,10,63406.009999999995,3783.9,1
37,7,7,5,11,63406.009999999995,2538.51,0
37,7,7,6,12,63406.009999999995,27479.6,0
37,7,7,8,14,63406.009999999995,12588.6,0
37,7,7,12,18,63406.009999999995,12207.5,0
38,6,6,2,7,138349.008,11463.0,1
38,6,6,2,7,138349.008,40362.6,1
38,6,6,3,8,138349.008,372.568,1
38,6,6,4,9,138349.008,13499.5,1
38,6,6,4,9,138349.008,7084.29,1
38,6,6,4,9,138349.008,6301.11,1
38,6,6,4,9,138349.008,30139.9,1
38,6,6,5,10,138349.008,14593.5,1
38,6,6,7,12,138349.008,5333.0,0
38,6,6,7,12,138349.008,9199.54,0
39,6,6,2,7,295273.08999999997,15912.3,1
39,6,6,3,8,295273.08999999997,29110.0,1
39,6,6,3,8,295273.08999999997,6615.9,1
39,6,6,3,8,295273.08999999997,2165.41,1
39,6,6,3,8,295273.08999999997,22071.1,1
39,6,6,4,9,295273.08999999997,40748.3,1
39,6,6,5,10,295273.08999999997,7314.54,1
39,6,6,5,10,295273.08999999997,15569.5,1
39,6,6,6,11,295273.08999999997,20589.6,0
39,6,6,6,11,295273.08999999997,15858.8,0
39,6,6,7,12,295273.08999999997,2871.22,0
39,6,6,8,13,295273.08999999997,31426.6,0
39,6,6,8,13,295273.08999999997,5051.44,0
39,6,6,10,15,295273.08999999997,37124.9,0
39,6,6,12,17,295273.08999999997,6501.48,0
39,6,6,12,17,295273.08999999997,36342.0,0
40,2,2,1,2,320993.064,2976.44,1
40,2,2,2,3,320993.064,13825.2,1
40,2,2,2,3,320993.064,22951.7,1
40,2,2,2,3,320993.064,8978.15,1
40,2,2,3,4,320993.064,26941.1,1
40,2,2,3,4,320993.064,4389.55,1
40,2,2,3,4,320993.064,4507.33,1
40,2,2,3,4,320993.064,25142.0,1
40,2,2,4,5,320993.064,86400.7,1
40,2,2,4,5,320993.064,7358.06,1
40,2,2,4,5,320993.064,8254.79,1
40,2,2,5,6,320993.064,8104.24,1
40,2,2,5,6,320993.064,41741.1,1
40,2,2,6,7,320993.064,1298.74,1
40,2,2,6,7,320993.064,464.164,1
40,2,2,8,9,320993.064,13549.5,1
40,2,2,11,12,320993.064,44110.3,0
41,9,9,2,10,127906.45000000001,11599.2,1
41,9,9,2,10,127906.45000000001,4369.79,1
41,9,9,3,11,127906.45000000001,1937.91,0
41,9,9,3,11,127906.45000000001,4162.3,0
41,9,9,4,12,127906.45000000001,5587.18,0
41,9,9,5,13,127906.45000000001,67325.0,0
41,9,9,5,13,127906.45000000001,3887.96,0
41,9,9,5,13,127906.45000000001,2475.32,0
41,9,9,5,13,127906.45000000001,10633.8,0
41,9,9,6,14,127906.45000000001,4518.16,0
41,9,9,8,16,127906.45000000001,8055.13,0
41,9,9,9,17,127906.45000000001,3354.7,0
42,8,8,1,8,136300.13,3590.05,1
42,8,8,2,9,136300.13,77057.1,1
42,8,8,3,10,136300.13,10714.1,1
42,8,8,3,10,136300.13,17263.7,1
42,8,8,4,11,136300.13,16045.6,0
42,8,8,6,13,136300.13,2876.92,0
42,8,8,6,13,136300.13,1532.56,0
42,8,8,6,13,136300.13,3726.37,0
42,8,8,11,18,136300.13,3493.73,0
43,5,5,2,6,207615.525,5201.89,1
43,5,5,2,6,207615.525,2623.42,1
43,5,5,2,6,207615.525,6690.69,1
43,5,5,2,6,207615.525,2147.47,1
43,5,5,2,6,207615.525,1856.52,1
43,5,5,3,7,207615.525,594.205,1
43,5,5,3,7,207615.525,16436.5,1
43,5,5,3,7,207615.525,14838.4,1
43,5,5,3,7,207615.525,16515.2,1
43,5,5,3,7,207615.525,19064.5,1
43,5,5,4,8,207615.525,14454.5,1
43,5,5,4,8,207615.525,61000.4,1
43,5,5,4,8,207615.525,5452.33,1
43,5,5,5,9,207615.525,30466.6,1
43,5,5,7,11,207615.525,10272.9,0
44,8,8,2,9,124591.331,8137.6,1
44,8,8,2,9,124591.331,15900.5,1
44,8,8,2,9,124591.331,847.451,1
44,8,8,2,9,124591.331,6830.83,1
44,8,8,2,9,124591.331,11362.8,1
44,8,8,3,10,124591.331,3666.75,1
44,8,8,3,10,124591.331,18111.9,1
44,8,8,4,11,124591.331,4028.72,0
44,8,8,4,11,124591.331,9064.89,0
44,8,8,4,11,124591.331,3014.03,0
44,8,8,5,12,124591.331,6494.07,0
44,8,8,5,12,124591.331,19891.6,0
44,8,8,8,15,124591.331,4462.02,0
44,8,8,8,15,124591.331,1705.47,0
